date,type,ticker,shares,price,amount
2026-06-08,dividend,NVDA,,,0.02
2026-06-03,dividend,NOC,,,0.11
2026-05-22,buy,RVI,0.16129,62.00,-10.00
2026-05-22,buy,QQQ,0.012266,720.65,-8.84
2026-05-08,dividend,AXP,,,0.07
2026-05-06,dividend,C,,,0.22
2026-04-23,buy,VTIP,0.199163,50.21,-10.00
2026-04-23,buy,JPM,0.079519,314.39,-25.00
2026-04-23,sell,SMR,1.3633,13.16,-17.95
2026-04-22,sell,ETH,0.015933,2303.09,-36.69
2026-04-22,buy,CHIP,10,0.067718,-0.68
2026-04-22,buy,CHIP,10,0.063479,-0.64
2026-03-31,dividend,VOO,,,0.16
2026-03-11,dividend,NOC,,,0.07
2026-03-02,buy,NOC,0.014832,745.00,-11.05
2026-02-27,dividend,C,,,0.22
2026-02-10,dividend,AXP,,,0.06
2026-02-02,sell,TEM,0.16129,59.41,-9.58
2025-12-24,dividend,VOO,,,0.15
2025-12-17,dividend,NOC,,,0.07
2025-11-26,dividend,C,,,0.22
2025-11-10,dividend,AXP,,,0.06
2025-10-01,dividend,VOO,,,0.15
2025-09-17,dividend,NOC,,,0.07
2025-08-22,dividend,C,,,0.22
2025-08-08,dividend,AXP,,,0.06
2025-07-17,buy,ETH,0.005791,3419.12,-19.81
2025-07-16,deposit,—,,,20.00
2025-07-16,buy,VOO,0.0872,573.35,-50.00
2025-07-15,deposit,—,,,50.00
2025-07-14,buy,NVDA,0.09369,162.66,-15.24
2025-06-18,dividend,NOC,,,0.07
2025-06-11,buy,ETH,0.003532,2831.16,-10.00
2025-06-11,buy,C,0.1276,78.37,-10.00
2025-06-11,buy,SMR,0.3633,41.29,-15.00
2025-06-11,deposit,—,,,50.00
2025-05-27,buy,ETH,0.00661,2687.11,-17.77
2025-05-27,sell,AAPL,0.08967,198.28,-17.78
2025-05-23,dividend,C,,,0.14
2025-05-15,dividend,AAPL,,,0.02
2025-04-15,buy,AXP,0.07748,258.13,-20.00
2025-04-15,buy,NOC,0.02997,533.75,-16.00
2025-04-15,buy,C,0.24682,64.38,-15.89
2025-03-04,buy,SMR,1.00,17.56,-17.56
2025-02-27,sell,ETH,0.018296,2268.48,-41.51
2025-02-25,sell,BTC,0.00016773,88237.05,-14.80
2025-02-24,sell,DOGE,56.74,0.23,-13.03
2025-02-13,dividend,AAPL,,,0.02
2025-02-04,buy,ETH,0.00307,2833.74,-8.70
2025-02-04,buy,OKLO,0.21699,46.08,-10.00
2025-02-04,sell,VBR,0.0392,203.90,-7.99
2025-02-04,sell,VBR,0.05296,203.86,-10.80
2025-02-03,buy,TEM,0.16129,61.07,-9.85
2025-01-29,sell,TJX,0.07915,124.28,-9.84
2025-01-22,sell,WFC,0.000095,77.54,-0.01
2025-01-21,buy,EOSE,2.42857,6.09,-14.79
2025-01-20,sell,TRUMP,0.3198,38.65,-12.36
2025-01-20,buy,TRUMP,0.3198,63.04,-20.16
2024-12-27,dividend,VBR,,,0.10
2024-12-12,sell,WFC,0.31221,71.02,-22.17
2024-12-03,dividend,WFC,,,0.12
2024-11-27,buy,VBR,0.09216,216.97,-20.00
2024-11-27,buy,TJX,0.07915,126.34,-10.00
2024-11-26,deposit,—,,,1.00
2024-11-25,deposit,—,,,30.00
2024-11-23,dividend,ETN,,,0.05
2024-11-23,buy,DOGE,21.13,0.472927,-10.00
2024-11-23,deposit,—,,,10.00
2024-11-12,buy,BTC,0.00016773,88475.67,-14.84
2024-11-12,buy,DOGE,13.82,0.361574,-5.00
2024-11-11,buy,AAPL,0.08967,223.04,-20.00
2024-11-10,buy,ETH,0.003121,3203.22,-10.00
2024-11-10,buy,DOGE,21.79,0.275065,-6.00
2024-11-07,sell,ETN,0.057873,361.14,-20.90
2024-11-06,sell,HSBC,0.522327,47.02,-24.56
2024-11-06,sell,XLM,52.24,0.09531,-4.97
2024-11-06,deposit,—,,,5.00
2024-11-02,dividend,T,,,0.56
2024-10-29,buy,HSBC,0.522327,46.79,-24.44
2024-10-24,sell,T,2,22.17,-44.35
2024-10-24,buy,ETH,0.003922,2524.46,-9.91
2024-10-24,buy,ETN,0.057873,345.58,-20.00
2024-10-23,deposit,—,,,10.00
2024-10-21,buy,WFC,0.312305,64.36,-20.10
2024-10-17,buy,XLM,52.24,0.09571,-5.00
2024-10-16,sell,FORD,2,3.53,-7.06
2024-10-16,sell,EOSE,5,3.60,-18.01
2024-10-13,buy,ETH,0.001519,2488.80,-3.79
2024-10-06,buy,FORD,2,5.39,-10.78
2024-10-05,deposit,—,,,30.00
2024-10-05,buy,EOSE,5,3.11,-15.55
2024-10-04,buy,T,2,22.06,-44.12
2024-10-04,buy,ETH,0.006664,2359.10,-15.73
2024-10-02,deposit,—,,,50.00
2023-12-01,deposit,—,,,5.47
2023-12-01,deposit,—,,,10.00
