date,type,ticker,shares,price,amount
2026-08-15,deposit,—,,,99481.74
2026-08-15,sell,EOSE,2.42857,4.02,-9.76
2026-08-15,sell,OKLO,0.21699,44.48,-9.65
2026-08-15,sell,RVI,0.16129,28.8,-4.65
2026-08-15,buy,VOO,15.32544,713.7,-10937.77
2026-08-15,buy,QQQ,2.72427,730.85,-1991.03
2026-08-15,buy,USMV,54.38544,101.13,-5500
2026-08-15,buy,BND,137.58049,72.39,-9959.45
2026-08-15,buy,GOVT,288.04302,22.48,-6474.69
2026-08-15,buy,VTIP,50.042,49.76,-2490.09
2026-08-15,buy,VEA,121.14107,73.9,-8952.33
2026-08-15,buy,VWO,74.39867,60.17,-4476.29
2026-08-15,buy,TSM,5.84414,425.2,-2484.93
2026-08-15,buy,CGW,30.42886,65.39,-1989.74
2026-08-15,buy,C,35.53222,139.25,-4947.86
2026-08-15,buy,JPM,13.70978,362.6,-4971.17
2026-08-15,buy,AXP,14.5328,342.22,-4973.48
2026-08-15,buy,NOC,6.7893,585.3,-3973.78
2026-08-15,buy,UNH,7.43099,401.71,-2985.1
2026-08-15,buy,LLY,2.52869,1180,-2983.85
2026-08-15,buy,PG,17.21775,144.47,-2487.49
2026-08-15,buy,NEE,23.1206,85.85,-1984.9
2026-08-15,buy,CEG,5.25342,282.96,-1486.5
2026-08-15,buy,PLD,17.63524,141.03,-2487.1
2026-08-15,buy,PHO,27.64064,71.97,-1989.3
2026-08-15,buy,NVDA,11.03127,224.72,-2478.95
2026-08-15,buy,GLD,9.95421,401.84,-4000
2026-08-15,buy,VOX,13.21213,189.22,-2500
2026-06-26,deposit,—,,,257.33
2026-06-26,buy,VEA,0.64513,71.8,-46.32
2026-06-26,buy,BND,0.56014,73.5,-41.17
2026-06-26,buy,GOVT,1.12604,22.85,-25.73
2026-06-26,buy,VWO,0.39415,58.76,-23.16
2026-06-26,buy,UNH,0.03708,416.44,-15.44
2026-06-26,buy,LLY,0.01368,1129.02,-15.44
2026-06-26,buy,NEE,0.17585,87.8,-15.44
2026-06-26,buy,TSM,0.03545,435.5,-15.44
2026-06-26,buy,PLD,0.09148,140.69,-12.87
2026-06-26,buy,PG,0.08656,148.69,-12.87
2026-06-26,buy,CEG,0.04772,269.72,-12.87
2026-06-26,buy,PHO,0.14872,69.19,-10.29
2026-06-26,buy,CGW,0.15686,65.6,-10.29
2026-06-08,dividend,NVDA,,,0.02
2026-06-03,dividend,NOC,,,0.11
2026-05-22,buy,RVI,0.16129,62,-10
2026-05-22,buy,QQQ,0.012266,720.65,-8.84
2026-05-08,dividend,AXP,,,0.07
2026-05-06,dividend,C,,,0.22
2026-04-23,buy,VTIP,0.199163,50.21,-10
2026-04-23,buy,JPM,0.079519,314.39,-25
2026-04-23,sell,SMR,1.3633,13.16,-17.95
2026-04-22,sell,ETH,0.015933,2303.09,-36.69
2026-04-22,buy,CHIP,10,0.07,-0.68
2026-04-22,buy,CHIP,10,0.06,-0.64
2026-03-31,dividend,VOO,,,0.16
2026-03-11,dividend,NOC,,,0.07
2026-03-02,buy,NOC,0.014832,745,-11.05
2026-02-27,dividend,C,,,0.22
2026-02-10,dividend,AXP,,,0.06
2026-02-02,sell,TEM,0.16129,59.41,-9.58
2025-12-24,dividend,VOO,,,0.15
2025-12-17,dividend,NOC,,,0.07
2025-11-26,dividend,C,,,0.22
2025-11-10,dividend,AXP,,,0.06
2025-10-01,dividend,VOO,,,0.15
2025-09-17,dividend,NOC,,,0.07
2025-08-22,dividend,C,,,0.22
2025-08-08,dividend,AXP,,,0.06
2025-07-17,buy,ETH,0.005791,3419.12,-19.81
2025-07-16,deposit,—,,,20
2025-07-16,buy,VOO,0.0872,573.35,-50
2025-07-15,deposit,—,,,50
2025-07-14,buy,NVDA,0.09369,162.66,-15.24
2025-06-18,dividend,NOC,,,0.07
2025-06-11,buy,ETH,0.003532,2831.16,-10
2025-06-11,buy,C,0.1276,78.37,-10
2025-06-11,buy,SMR,0.3633,41.29,-15
2025-06-11,deposit,—,,,50
2025-05-27,buy,ETH,0.00661,2687.11,-17.77
2025-05-27,sell,AAPL,0.08967,198.28,-17.78
2025-05-23,dividend,C,,,0.14
2025-05-15,dividend,AAPL,,,0.02
2025-04-15,buy,AXP,0.07748,258.13,-20
2025-04-15,buy,NOC,0.02997,533.75,-16
2025-04-15,buy,C,0.24682,64.38,-15.89
2025-03-04,buy,SMR,1,17.56,-17.56
2025-02-27,sell,ETH,0.018296,2268.48,-41.51
2025-02-25,sell,BTC,0.00016773,88237.05,-14.8
2025-02-13,dividend,AAPL,,,0.02
2025-02-04,buy,ETH,0.00307,2833.74,-8.7
2025-02-04,buy,OKLO,0.21699,46.08,-10
2025-02-04,sell,VBR,0.0392,203.9,-7.99
2025-02-04,sell,VBR,0.05296,203.86,-10.8
2025-02-03,buy,TEM,0.16129,61.07,-9.85
2025-01-29,sell,TJX,0.07915,124.28,-9.84
2025-01-22,sell,WFC,0.000095,77.54,-0.01
2025-01-21,buy,EOSE,2.42857,6.09,-14.79
2025-01-20,sell,TRUMP,0.3198,38.65,-12.36
2025-01-20,buy,TRUMP,0.3198,63.04,-20.16
2024-12-27,dividend,VBR,,,0.1
2024-12-12,sell,WFC,0.31221,71.02,-22.17
2024-12-03,dividend,WFC,,,0.12
2024-11-27,buy,VBR,0.09216,216.97,-20
2024-11-27,buy,TJX,0.07915,126.34,-10
2024-11-26,deposit,—,,,1
2024-11-25,deposit,—,,,30
2024-11-23,dividend,ETN,,,0.05
2024-11-23,deposit,—,,,10
2024-11-12,buy,BTC,0.00016773,88475.67,-14.84
2024-11-11,buy,AAPL,0.08967,223.04,-20
2024-11-10,buy,ETH,0.003121,3203.22,-10
2024-11-07,sell,ETN,0.057873,361.14,-20.9
